# 3193 unresolved booktitles sorted by row frequency
# 309624 unresolved conference rows
# rows	booktitle

55	LSMS/ICSEE (1)
55	Nets4Cars/Nets4Trains
55	RFIDSec
55	RSKD
55	SMAP
54	ACM Pacific
54	AIWoRC
54	ASA/MA
54	BIODEVICES (2)
54	BioVis
54	BUIS-Tage
54	e-Forensics
54	EOOLT
54	ICTA
54	International Working Conference on Model Realism
54	LCR
54	Modeling in Computer Graphics
54	NLUCS
54	OSC
54	PLPV
54	ROBOCOMM
54	ROBOT (1)
54	UTP
54	VOTE-ID
54	WEIT
54	Workshop on the Management of Replicated Data
53	ACM DEV (3)
53	BIOID
53	Brain and Health Informatics
53	CHIMIT
53	Future Play
53	IDCS
53	ISICA (1)
53	KMO
53	LAPTEC
53	MCM
53	MobIS
53	Modelle im E-Business
53	NESEA
53	Sanskrit Computational Linguistics
53	SEAFOOD
53	SemWiki
53	Terminology and Knowledge Engineering
53	VCHCI
52	BIODEVICES (1)
52	FGIT-DTA/BSBT
52	Interval Mathematics
52	IWICPAS
52	POST
52	POSTA
52	ROBOT (2)
52	SafeConfig
52	SBSC
52	SYRCoDIS
51	Algebraic Coding
51	B
51	Belief Functions
51	Communication Systems and Networks
51	E-Business and Virtual Enterprises
51	EFIS
51	EUROS
51	HC
51	IAW
51	IIiX
51	PACS
51	RGU
51	TDIT
50	AIMDM
50	AIS-ADM
50	AsiaSim (2)
50	BIRTE
50	Component Deployment
50	HiCoNS
50	IF&GIS
50	ISOTAS
50	IWIA
50	Mobile Communications
50	WAC
50	Workshop Mobile Commerce
49	ACAI
49	ACM DEV
49	AFPAC
49	AIRWeb
49	AsiaSim (3)
49	AXMEDIS
49	BIOSIGNALS (1)
49	CompLife
49	EDMCC
49	FIDJI
49	FOSAD
49	ICDEM
49	ICWCA
49	IHC+CLIHC
49	ISBMS
49	Leipziger Informatik-Tage
49	WORDS Fall
49	Workshop on New Paradigms in Information Visualization and Manipulation
48	AMIF
48	Curves and Surfaces
48	DCW
48	DDI
48	DFMA
48	ECCBR Workshops
48	Electronic Imaging
48	FGIT-MulGraB (2)
48	HCCE
48	ICSSI
48	IMTIC
48	ISDB
48	LSO
48	SAMT (Posters and Demos)
48	SPECOM
48	Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems
48	Theory and Formal Methods
47	Active Middleware Services
47	Advanced Functional Programming
